prec_county,P00003392,P60012234,P80001571
01A13121,1898,97,173
01B13121,2304,125,243
01C13121,580,13,19
01D13121,268,6,23
01E13121,2932,144,283
01F13121,443,11,16
01H13121,378,10,20
01J13121,1159,35,41
01P13121,577,11,17
01R13121,564,7,7
01S13121,801,10,25
01T13121,695,20,49
02A13121,1814,133,455
02B13121,1048,32,178
02C13121,1121,48,90
02D13121,2177,113,239
02E13121,1215,60,154
02F113121,1704,107,216
02F213121,420,19,47
02G13121,1968,105,247
02J13121,1844,94,220
02K13121,819,57,120
02L113121,2965,198,552
02L213121,575,28,130
02S13121,394,13,30
02W13121,219,25,52
035 Cates D - 0413135,191,12,181
03A13121,763,5,22
03B13121,203,2,2
03C13121,738,10,14
03D13121,391,6,10
03E13121,885,16,40
03F13121,933,72,174
03G13121,302,6,6
03H13121,384,12,9
03I13121,657,83,123
03L13121,204,2,10
03M13121,337,38,87
03N13121,881,27,35
03P1A13121,1592,116,243
03P213121,21,0,1
03S13121,338,6,7
03T13121,718,17,32
04A13121,493,12,11
04B13121,941,11,23
04C13121,64,0,0
04D13121,710,4,17
04F13121,853,28,77
04G13121,306,7,8
04I13121,504,19,52
04J13121,412,4,5
04K13121,1138,21,34
04L13121,740,24,28
04M13121,319,3,8
04S13121,1119,15,23
04T13121,540,6,9
04V13121,1201,17,20
04W13121,705,10,9
04X113121,923,20,28
04X213121,318,11,8
05A113121,1465,83,147
05A213121,1502,61,121
05B13121,852,37,55
05C13121,63,0,3
05D13121,117,3,8
05F13121,71,2,7
05J13121,350,21,47
05K13121,1255,55,85
06B13121,1012,69,197
06D13121,4561,255,1152
06E13121,1216,53,253
06F13121,1455,107,281
06G13121,307,13,53
06I13121,1448,83,233
06J13121,1488,92,303
06L113121,497,28,145
06L213121,338,15,132
06N13121,794,66,342
06Q13121,243,10,35
06R13121,885,40,211
07A13121,2123,209,1752
07B13121,899,101,1149
07C13121,1306,88,1151
07D13121,1289,143,992
07E13121,900,61,431
07F13121,1103,91,790
07H13121,775,51,589
07J13121,1129,141,612
07M13121,777,84,438
07N13121,795,54,190
08A13121,931,79,944
08B13121,982,123,1221
08C13121,328,45,607
08D13121,283,33,436
08E13121,842,84,966
08F113121,612,88,879
08G13121,932,60,673
08H13121,849,74,831
08J13121,1049,118,855
08K13121,397,64,260
08L13121,1688,182,751
08M13121,558,43,693
08N113121,232,32,313
08N213121,500,22,402
08P13121,633,50,168
09A13121,1504,138,465
09B13121,197,2,6
09C13121,1552,24,33
09D13121,910,10,19
09E13121,1222,35,49
09F13121,1489,177,969
09G13121,1480,120,399
09H13121,466,27,85
09I13121,518,5,10
09K13121,1919,30,59
09M13121,993,114,288
10013299,1740,24,417
10113237,864,32,998
10113245,262,26,253
10213245,520,22,189
10313245,735,5,16
10413237,1004,24,998
